index,user_id,follower_id
2,88846085212083952,88747935925278542
3,88846085212083952,48245290604401994
4,88846085212083952,78573527746217904
5,88846085212083952,18446705155490047
6,88846085212083952,18585483636744786
7,88846085212083952,28069011006341190
8,88846085212083952,18455596436934445
9,88846085212083952,88846954500462487
10,88846085212083952,85274892047489017
11,17245262652958830,90193426812769517
12,17245262652958830,90193151366534171
13,17245262652958830,90192874814052259
14,17245262652958830,90192270995756409
15,17245262652958830,90192011683960046
16,17245262652958830,90191912059803092
17,17245262652958830,90191637306676363
18,17245262652958830,90191345409332255
19,17245262652958830,90187738823792039
20,17245262652958830,90183188805064250
21,17245262652958830,20253927898515459
22,17245262652958830,90179500199909121
23,17245262652958830,90177760774854063
24,17245262652958830,90177424410548125
25,17245262652958830,90177066464450209
26,17245262652958830,90175389108802891
27,17245262652958830,90173387283895956
28,17245262652958830,90173052605699457
29,17245262652958830,90172252269581490
30,17245262652958830,90171891891836575
31,17245262652958830,90165625806132579
32,17245262652958830,90163223454553869
33,17245262652958830,90163163016729918
34,17245262652958830,90162076939458051
35,17245262652958830,90160565801981555
36,17245262652958830,90156920075196322
37,17245262652958830,90156250132649615
38,17245262652958830,90155753332020586
39,17245262652958830,90150564871018136
40,17245262652958830,90149565720696386
41,17245262652958830,90148932583167832
42,17245262652958830,90146111029778199
43,17245262652958830,25447222801729424
44,17245262652958830,18510325932474890
45,17245262652958830,90107663999833132
46,17245262652958830,90086415727072958
47,17245262652958830,89541766781343250
48,17245262652958830,89915070582101361
49,17245262652958830,90077748228265764
50,17245262652958830,90077322661598216
51,17245262652958830,90077060104460171
52,17245262652958830,90076036255978643
53,17245262652958830,90076042575746926
54,17245262652958830,90075681105385221
55,17245262652958830,90071534476990325
56,17245262652958830,90070556571866162
57,17245262652958830,90070253613093914
58,17245262652958830,90069930926412895
59,17245262652958830,90069629303526934
60,17245262652958830,18436246940532852
61,17245262652958830,90065333229983322
62,17245262652958830,90065084477347188
63,17245262652958830,90064840853296581
64,17245262652958830,90064717936072512
65,17245262652958830,90064353232950690
66,17245262652958830,90064312182248498
67,17245262652958830,90064015764494291
68,17245262652958830,90063696725808800
69,17245262652958830,90059246053365750
70,17245262652958830,90058968659924546
71,17245262652958830,90058673538208814
72,17245262652958830,90058377389938586
73,17245262652958830,90055964831519800
74,17245262652958830,81078333466477829
75,17245262652958830,90053263880099568
76,17245262652958830,90053321019102338
77,17245262652958830,90038564233942051
78,17245262652958830,90015156949488937
79,17245262652958830,73940899152791274
80,17245262652958830,90002631514134084
81,17245262652958830,89998850248414837
